,Bestandskonto_X,Bestandskonto_nan,Bewertungsklasse_nan,Bewertungsklasse_3000.0,Einzelpostenanzeige moeglich_X,Einzelpostenanzeige moeglich_nan,Erfolgskontentyp_nan,Erfolgskontentyp_X,Geschaeftsbereich_nan,Geschaeftsbereich_1.0,Gruppenkennzeichen_0,Gruppenkennzeichen_1,KZ EKBE_nan,KZ EKBE_X,Kennzeichen: Posten nicht kopierbar ?_nan,Kennzeichen: Posten nicht kopierbar ?_X,Kostenstelle_nan,Kostenstelle_AA,Kreditkontr_Bereich_nan,Kreditkontr_Bereich_AA,Laufende Kontierung_nan,Laufende Kontierung_0.0,PartnerPrctr_nan,PartnerPrctr_AA,Profitcenter_nan,Profitcenter_AA,Rechnungsbezug_nan,Rechnungsbezug_V,Soll/Haben-Kennz__S,Soll/Haben-Kennz__H,Sperrgrund Menge_nan,Steuerkennzeichen_nan,Steuerkennzeichen_XI,Bewertungskreis_nan,Bewertungskreis_AA,Steuerstandort_nan,Steuerstandort_DE0000000,Umsatzwirksam_nan,Umsatzwirksam_X,Verwaltung offener Posten_nan,Verwaltung offener Posten_X,Werk_nan,Werk_AA,Zahlungsbedingung_nan,Zahlungsbedingung_1.0,Zahlungssperre_nan,Zahlungssperre_R,Alternative Kontonummer_113300.0,Alternative Kontonummer_70000.0,Alternative Kontonummer_nan,Alternative Kontonummer_113101.0,Alternative Kontonummer_191100.0,Alternative Kontonummer_160000.0,Alternative Kontonummer_792000.0,Alternative Kontonummer_895000.0,Alternative Kontonummer_400000.0,Alternative Kontonummer_500000.0,Alternative Kontonummer_510000.0,Alternative Kontonummer_520000.0,Alternative Kontonummer_478100.0,Alternative Kontonummer_476900.0,Alternative Kontonummer_140000.0,Alternative Kontonummer_800000.0,Basismengeneinheit_nan,Basismengeneinheit_KG,Basismengeneinheit_ST,BestPreisMngEinheit_nan,BestPreisMngEinheit_KG,BestPreisMngEinheit_ST,Bestandsbuchung_nan,Bestandsbuchung_0.0,Bestellmengeneinheit_nan,Bestellmengeneinheit_KG,Bestellmengeneinheit_ST,Buchungsschluessel_40,Buchungsschluessel_50,Buchungsschluessel_89,Buchungsschluessel_96,Buchungsschluessel_31,Buchungsschluessel_86,Buchungsschluessel_91,Buchungsschluessel_99,Buchungsschluessel_81,Buchungsschluessel_1,Buchungsschluessel_11,Buchungsschluessel_21,Buchungsschluessel_83,Buchungszeilen-Id_nan,Buchungszeilen-Id_M,Buchungszeilen-Id_W,Buchungszeilen-Id_S,ErfassungsMngEinh_nan,ErfassungsMngEinh_KG,ErfassungsMngEinh_ST,Hauptbuchkonto_113300,Hauptbuchkonto_70000,Hauptbuchkonto_1000,Hauptbuchkonto_2000,Hauptbuchkonto_11000,Hauptbuchkonto_113101,Hauptbuchkonto_300000,Hauptbuchkonto_191100,Hauptbuchkonto_160000,Hauptbuchkonto_792000,Hauptbuchkonto_895000,Hauptbuchkonto_400000,Hauptbuchkonto_472000,Hauptbuchkonto_211120,Hauptbuchkonto_2010,Hauptbuchkonto_211130,Hauptbuchkonto_11010,Hauptbuchkonto_500000,Hauptbuchkonto_510000,Hauptbuchkonto_520000,Hauptbuchkonto_478100,Hauptbuchkonto_476900,Hauptbuchkonto_893010,Hauptbuchkonto_140000,Hauptbuchkonto_800000,Hauptbuchkonto_477036,Hauptbuchkonto_477035,Hauptbuchkonto_477034,Hauptbuchkonto_232500,Kontoart_S,Kontoart_M,Kontoart_K,Kontoart_D,Kostenart_nan,Kostenart_895000.0,Kostenart_400000.0,Kostenart_472000.0,Kostenart_211120.0,Kostenart_211130.0,Kostenart_500000.0,Kostenart_510000.0,Kostenart_520000.0,Kostenart_478100.0,Kostenart_476900.0,Kostenart_800000.0,Kostenart_477036.0,Kostenart_477035.0,Kostenart_477034.0,Kostenart_232500.0,Kreditor_nan,Kreditor_V01,Kreditor_V02,Material_nan,Material_AA-R01,Material_AA-R02,Material_AA-R03,Material_AA-R04,Material_AA-R05,Material_AA-R06,Material_AA-P01,Material_AA-P02,Material_AA-F12,Material_AA-F16,Material_AA-F15,Preissteuerung_nan,Preissteuerung_V,Preissteuerung_S,Sachkonto_nan,Sachkonto_160000.0,Sachkonto_140000.0,Vorgang_nan,Vorgang_BSX,Vorgang_WRX,Vorgang_KBS,Vorgang_GBB,Vorgang_UMB,Vorgangsart GL_RFBU,Vorgangsart GL_RMWE,Vorgangsart GL_RMRP,Vorgangsart GL_RMRU,Vorgangsart GL_RMWL,Vorgangsart GL_SD00,Vorgangsart GL_RMPR,Wertestring_nan,Wertestring_WE01,Wertestring_RE01,Wertestring_WF01,Wertestring_WA01,Wertestring_RE14,Betrag Hauswaehr_-inf_376,Betrag Hauswaehr_376_1139,Betrag Hauswaehr_1139_2303,Betrag Hauswaehr_2303_49440,Betrag Hauswaehr_49440_inf,Betrag Hauswaehr_0,Betrag_-inf_2079,Betrag_2079_10304,Betrag_10304_23520,Betrag_23520_145770,Betrag_145770_inf,Betrag_0,Betrag_5_-inf_-1277,Betrag_5_-1277_-1012,Betrag_5_-1012_-787,Betrag_5_-787_36740,Betrag_5_36740_inf,Betrag_5_0,Gesamtbestand_-inf_1600,Gesamtbestand_1600_17067,Gesamtbestand_17067_74400,Gesamtbestand_74400_306000,Gesamtbestand_306000_inf,Gesamtbestand_0,Gesamtwert_-inf_2908,Gesamtwert_2908_25760,Gesamtwert_25760_55915,Gesamtwert_55915_198196,Gesamtwert_198196_inf,Gesamtwert_0,Kreditkontr_betrag_-inf_757,Kreditkontr_betrag_757_2331,Kreditkontr_betrag_2331_4469,Kreditkontr_betrag_4469_8646,Kreditkontr_betrag_8646_inf,Kreditkontr_betrag_0,Menge in BPME_-inf_900,Menge in BPME_900_9000,Menge in BPME_9000_36867,Menge in BPME_36867_128000,Menge in BPME_128000_inf,Menge in BPME_0,Menge in ErfassME_-inf_204,Menge in ErfassME_204_460,Menge in ErfassME_460_525,Menge in ErfassME_525_62400,Menge in ErfassME_62400_inf,Menge in ErfassME_0,Menge_-inf_204,Menge_204_455,Menge_455_513,Menge_513_44000,Menge_44000_inf,Menge_0,Skontobasis_-inf_688,Skontobasis_688_2345,Skontobasis_2345_4540,Skontobasis_4540_62720,Skontobasis_62720_inf,Skontobasis_0
1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003925601082204813,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032938299885027986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004545533827860736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004663052290056289,0.0,-0.0002259504139564654,0.0,0.0,-0.0002872410626511869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019805366459724714,0.0,0.0,0.0,0.0,-9.056789870167531e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003704621118574142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014275655834484792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020230518203098076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017229870007910535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023587916341662064,0.0,0.0,0.0,0.0,-0.00202479685596324,0.0,-0.00016243116501918342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037103554333233826,0.0,0.0,0.0,0.0,-0.0022214907408786184,0.0,-0.00037071975655900667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033131948513380055,0.0,0.0,0.0,0.0,0.0,-0.0009408795073350094,0.0,0.0,0.0,0.0,0.0,-0.0005096138047663602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005935305928281232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003253181401285848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046680377625100776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00048436304119522347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016054473392966935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016699763073615673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037418443831271507,0.0,0.0,-0.0026620065794777117,0.0,0.0,0.0,0.0,-0.0020461030883225317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037777443019993058,0.0,0.0,0.0,0.0,-0.002091470697485105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034994561093979466,0.0,0.0,0.0,0.0,0.0,-0.0008777156459877283,0.0,0.0,0.0,0.0,0.0,-0.0005882983988094205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005014602720139482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006239161729931755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010632247297467183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016146730455642827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002559149838292939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004535090451772737,0.0,0.0,0.0,-0.002013730279221105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00348145980698076,0.0,0.0,0.0,0.0,0.0,-0.0016529546049470858,0.0,0.0,0.0,0.0,0.0,-0.0011656289784024998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007158569572843776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019335499807223468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002157018144955832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002540365702347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038818643974268627,0.0,0.0,0.0,-0.00300496558736342,0.0,0.0,-0.0005923549785756821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003908072277488786,0.0,0.0,0.0,0.0,0.0,-0.0012510686304381333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36376,-0.0002382787752883142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003028744242825135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4739607847202444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000590298410318402,0.0,0.0,0.0,0.0,0.0,-0.0019481789552728435,0.0,0.0,0.0,0.0,-0.001445117133439762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005536295674065817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007147353016441239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013429045662792204,0.0,0.0,0.0,0.0,0.0,0.0,-0.002258463352616282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001950713109406867,0.0,0.0,0.0,0.0,0.0,-0.003748174875638657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015392641251322503,0.0,0.0,0.0,0.0,0.0,-0.0014591768721535295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035374208373312975,0.0,0.0,0.0,0.0,0.0,-0.0016884261418071665,0.0,0.0,0.0,0.0,0.0,-0.002004137909187388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36377,0.0,0.0,0.0,-0.00033263493460156546,0.0,-0.0004908366834146037,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012207403003901274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000497551512740186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032688385690739447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038103704534943447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009968805575926837,0.0,0.0,0.0,0.0,-0.001043974183185779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047203163018696287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001297632126598629,0.0,0.0,0.0,0.0,0.0,0.0,-0.002371326866939923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002202909544274991,0.0,0.0,0.0,0.0,0.0,-0.0035255764282139555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012900292847400205,0.0,0.0,0.0,0.0,0.0,-0.001947904183925396,0.0,-0.0002599211406760435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003382425526633308,0.0,0.0,0.0,0.0,-0.0001177790513696153,-0.002169774804042724,0.0,0.0,0.0,0.0,0.0,-0.0023907701177209376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019904664280079223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003653739753045988,0.0,0.0,-0.001678106582785296,0.0,0.0,0.0,0.0,-0.0017295010304469796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003708171771769891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016448344693803527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002324232232374218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003638155762080925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005044637688305358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002542669652303778,0.0,0.0,0.0,0.0,0.0,-0.003351882575910037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023143809906572502,0.0,0.0,0.0,0.0,0.0,0.0,-0.003927314184801474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00393127229188122,0.0,0.0,0.0,0.0,0.0,-0.0022492342194243876,0.0,0.0,0.0,0.0,0.0,-0.0017360088745076892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36379,0.0,-0.0004054680929798703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033049051398164296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004102079079248743,0.0,0.0,0.0,0.0,-0.0014975334625250943,0.0,0.0,0.0,0.0,-0.0015467763544161047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005740386743325896,0.0,0.0,0.0,0.0,0.0,-0.0011520735045940636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031013929696756316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002692770323837657,0.0,0.0,0.0,0.0,0.0,-0.004020919338905254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002245298406280436,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043715382087699175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032103992272168452,0.0,0.0,0.0,0.0,0.0,-0.0024592994349931646,0.0,0.0,0.0,0.0,0.0,-0.0013587805858151294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011629630916093524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012623323366212245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015031191993769046,0.0,0.0,-0.0025610975774087064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000941945706460552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037430625227130613,0.0,0.0,0.0,0.0,0.0,-0.0006147759578945967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018199605998143412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007893357197817203,-0.0010611144155763795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023403297325821893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006343504948985181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007335631966804241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005959106128016704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003637725833519915,0.0,0.0,0.0,0.0,0.0,-0.0006765882361732083,0.0,0.0,0.0,0.0,0.0,-0.000871560965978924,-0.0006363168363306831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
